Tiempo	Energía	Energía total
0.296	0.002804768712836994	0.6871683346450635
0.297	0.002834007559705792	0.694331852127919
0.298	0.002876293514521744	0.7046919110578272
0.299	0.0029004451624892024	0.7106090648098546
0.3	0.0029458902127700495	0.7217431021286621
0.301	0.002997818273638709	0.7344654770414837
0.302	0.0028916061376694853	0.7084435037290239
0.303	0.002913575909665808	0.7138260978681229
0.304	0.002947890958412754	0.7222332848111247
0.305	0.0029549624119224282	0.7239657909209949
0.306	0.003010118471766073	0.7374790255826879
0.307	0.003006803108814558	0.7366667616595667
0.308	0.0030521646733373082	0.7477803449676406
0.309	0.003075261898743389	0.7534391651921303
0.31	0.0031015327466684325	0.7598755229337659
0.311	0.00311538526921381	0.7632693909573834
0.312	0.003158532060732374	0.7738403548794316
0.313	0.003216760715372062	0.7881063752661551
0.314	0.003272518882693971	0.8017671262600229
0.315	0.00329480119110512	0.8072262918207544
0.316	0.0033082678060191804	0.8105256124746992
0.317	0.0032502139676021907	0.7963024220625368
0.318	0.003323723569044063	0.8143122744157955
0.319	0.0033299516693779787	0.8158381589976048
0.32	0.0032796031469088014	0.8035027709926563
0.321	0.0033430865921730323	0.8190562150823929
0.322	0.003409741449333366	0.8353866550866746
0.323	0.003428474792285488	0.8399763241099446
0.324	0.0033500080174556773	0.820751964276641
0.325	0.003435048179640818	0.8415868040120004
0.326	0.0034906183822646774	0.8552015036548459
0.327	0.003452595470566979	0.8458858902889099
0.328	0.003489175077365465	0.8548478939545389
0.329	0.003470097133353846	0.8501737976716922
0.33	0.003487749481932161	0.8544986230733794
0.331	0.003382255655616824	0.8286526356261219
0.332	0.0034715260853388405	0.850523890908016
0.333	0.0035134325734998296	0.8607909805074583
0.334	0.003499541083690072	0.8573875655040676
0.335	0.0035222627613743433	0.8629543765367141
0.336	0.003593724604598643	0.8804625281266675
0.337	0.0035906175197406714	0.8797012923364645
0.338	0.003574757580489623	0.8758156072199577
0.339	0.0036241372233301967	0.8879136197158982
0.34	0.0036421985086910933	0.8923386346293178
0.341	0.0036091468469301538	0.8842409774978877
0.342	0.0036638545356154958	0.8976443612257965
0.343	0.0036921039125410227	0.9045654585725506
0.344	0.003671160501838975	0.8994343229505489
0.345	0.003649754094189766	0.8941897530764927
0.346	0.0036204639622165738	0.8870136707430606
0.347	0.0035958919548084375	0.8809935289280671
0.348	0.003607762249951609	0.8839017512381442
0.349	0.0036232778396596025	0.8877030707166026
0.35	0.0034953903531616567	0.8563706365246059
0.351	0.003466248405615382	0.8492308593757686
0.352	0.0033306384673580515	0.8160064245027226
0.353	0.0033751884334485218	0.8269211661948879
0.354	0.0033788519216176767	0.8278187207963308
0.355	0.0033346398123068077	0.8169867540151678
0.356	0.0033524283161326857	0.821344937452508
0.357	0.0033379099944140294	0.8177879486314372
0.358	0.0032595864881921504	0.7985986896070768
0.359	0.0033639993757462274	0.8241798470578258
0.36	0.0033131526440729002	0.8117223977978606
0.361	0.003303592639788216	0.8093801967481129
0.362	0.003189571255228065	0.7814449575308758
0.363	0.003089293878088943	0.756877000131791
0.364	0.0031840086658725683	0.7800821231387792
0.365	0.0031851888430470808	0.7803712665465348
0.366	0.0031798839203607664	0.7790715604883878
0.367	0.0031858182694977795	0.780525476026956
0.368	0.0031552501804377204	0.7730362942072415
0.369	0.0031471043416702155	0.7710405637092028
0.37	0.003155669745549905	0.7731390876597267
0.371	0.0032498908994549568	0.7962232703664645
0.372	0.003184613437787648	0.7802302922579737
0.373	0.003161831109668403	0.7746486218687588
0.374	0.00299843561631006	0.7346167259959647
0.375	0.0030318623746766644	0.7428062817957828
0.376	0.003064125950615582	0.7507108579008176
0.377	0.003121462848162837	0.7647583977998951
0.378	0.0029979087708351133	0.7344876488546027
0.379	0.003062694095979146	0.7503600535148908
0.38	0.0030436844423931517	0.7457026883863221
0.381	0.0030765668652076843	0.7537588819758827
0.382	0.0030497614859828666	0.7471915640658023
0.383	0.0030888765896508763	0.7567747644644647
0.384	0.0030582660651606265	0.7492751859643535
0.385	0.0030519096564038026	0.7477178658189316
0.386	0.003182991579096292	0.7798329368785915
0.387	0.003146658482217587	0.7709313281433089
0.388	0.0030801166223326116	0.7546285724714898
0.389	0.003106297253448966	0.7610428270949966
0.39	0.0031671877967467277	0.7759610102029483
0.391	0.003210605017569682	0.786598229304572
0.392	0.0032387952121140278	0.7935048269679368
0.393	0.0032565767974842147	0.7978613153836326
0.394	0.0031782850903945966	0.7786798471466762
0.395	0.003184135713551294	0.780113249820067
0.396	0.0031648033408190664	0.7753768185006713
0.397	0.003167011001302287	0.7759176953190603
0.398	0.003089141519399115	0.7568396722527831
0.399	0.003081528862697061	0.75497457136078
0.4	0.003094509602064634	0.7581548525058353
0.401	0.003145456274994112	0.7706367873735575
0.402	0.003159846950941942	0.7741625029807758
0.403	0.0032081975442035697	0.7860083983298746
0.404	0.0030800480060673833	0.7546117614865089
0.405	0.003058838786191699	0.7494155026169662
0.406	0.0030100612526454177	0.7374650068981273
0.407	0.0030424974936676683	0.7454118859485788
0.408	0.003071947811094263	0.7526272137180945
0.409	0.0031084712949872024	0.7615754672718646
0.41	0.0031214851170637634	0.764763853680622
0.411	0.0032046684301027984	0.7851437653751856
0.412	0.003250386142916155	0.796344605014458
0.413	0.0031873976611242584	0.7809124269754433
0.414	0.0032028718039022815	0.784703591956059
0.415	0.0031649425425476375	0.7754109229241711
0.416	0.0030972394682476107	0.7588236697206646
0.417	0.003065375039868846	0.7510168847678673
0.418	0.003014093923874562	0.7384530113492678
0.419	0.0031189607993547743	0.7641453958419197
0.42	0.0031462583228477063	0.770833289097688
0.421	0.003106837471012672	0.7611751803981046
0.422	0.003045171820083426	0.7460670959204393
0.423	0.003029063621799529	0.7421205873408847
0.424	0.003011852895079438	0.7379039592944623
0.425	0.003051892133177879	0.7477135726285803
0.426	0.0029717673519614124	0.728083001230546
0.427	0.00289591825323546	0.7094999720426877
0.428	0.002872088087117731	0.7036615813438442
0.429	0.0028952626963595174	0.7093393606080818
0.43	0.002877942875478908	0.7050960044923326
0.431	0.0028618369202886027	0.7011500454707077
0.432	0.0028024577963828654	0.686602160113802
0.433	0.002863771816414387	0.7016240950215248
0.434	0.0028269425262139563	0.6926009189224193
0.435	0.002898133599196805	0.7100427318032172
0.436	0.002858825129863988	0.700412156816677
0.437	0.0029138105046308113	0.7138835736345488
0.438	0.0028243760384285385	0.691972129414992
0.439	0.0028645932867938755	0.7018253552644995
0.44	0.0028649388918360738	0.7019100284998381
0.441	0.0028933574312399193	0.7088725706537802
0.442	0.00292274668105116	0.7160729368575341
0.443	0.0029476671507122428	0.7221784519244995
0.444	0.002945727278720719	0.7217031832865761
0.445	0.002932242015728576	0.7183992938535011
0.446	0.002956266733951321	0.7242853498180737
0.447	0.002997440432370026	0.7343729059306564
0.448	0.002985651575722706	0.7314846360520629
0.449	0.0030759154462294295	0.7535992843262103
0.45	0.0029465689162230216	0.7219093844746403
0.451	0.0029858058311823645	0.7315224286396793
0.452	0.0029645821608322714	0.7263226294039065
0.453	0.002959867792383591	0.7251676091339798
0.454	0.002949910554332397	0.7227280858114372
0.455	0.0029962574973703415	0.7340830868557336
0.456	0.003078173848263802	0.7541525928246315
0.457	0.003073674055593612	0.7530501436204349
0.458	0.00306354287970128	0.7505680055268136
0.459	0.0030749847768384137	0.7533712703254114
0.46	0.0030962210770031353	0.7585741638657681
0.461	0.0031434371950578178	0.7701421127891653
0.462	0.00317692882800748	0.7783475628618326
0.463	0.0030689573560272305	0.7518945522266715
0.464	0.0031798342185318964	0.7790593835403147
0.465	0.0032052935158675693	0.7852969113875544
0.466	0.003266087937646583	0.8001915447234129
0.467	0.003273831663891642	0.8020887576534522
0.468	0.0033334373806275064	0.8166921582537391
0.469	0.003377642589889167	0.8275224345228459
0.47	0.0032847877417601407	0.8047729967312345
0.471	0.003215211610474451	0.7877268445662404
0.472	0.0032647536858644638	0.7998646530367937
0.473	0.0032863468174382723	0.8051549702723767
0.474	0.003282358380026286	0.80417780310644
0.475	0.0033125811112278743	0.8115823722508292
0.476	0.0033515265325173033	0.8211240004667393
0.477	0.0033956748774056486	0.8319403449643838
0.478	0.003421741834302242	0.8383267494040493
0.479	0.00336354063663959	0.8240674559766995
0.48	0.003389507083865229	0.8304292355469811
0.481	0.0034134229719685653	0.8362886281322985
0.482	0.003329971019810938	0.8158428998536799
0.483	0.003331018109787518	0.8160994368979418
0.484	0.0034182006282913536	0.8374591539313816
0.485	0.0034373745831532804	0.8421567728725537
0.486	0.003487072101890329	0.8543326649631307
0.487	0.0034816672182719608	0.8530084684766304
0.488	0.003478378247026743	0.8522026705215521
0.489	0.003512346390142219	0.8605248655848436
0.49	0.0034639643224224255	0.8486712589934943
0.491	0.0034355133431075357	0.8417007690613463
0.492	0.0034902623464686047	0.8551142748848082
0.493	0.003496594036139117	0.8566655388540836
0.494	0.003540975858406751	0.8675390853096541
0.495	0.0035214909362629786	0.8627652793844297
0.496	0.003600458028838537	0.8821122170654415
0.497	0.0035283796482247216	0.8644530138150568
0.498	0.0035499974707725664	0.8697493803392787
0.499	0.0035455274113441646	0.8686542157793203
0.5	0.003494108302061667	0.8560565340051084
0.501	0.003540226194059927	0.8673554175446822
0.502	0.0035610285746579544	0.8724520007911988
0.503	0.003574070129211665	0.875647181656858
0.504	0.0035759499777150818	0.876107744540195
0.505	0.0035241642350390357	0.8634202375845638
0.506	0.00360575695669614	0.8834104543905543
0.507	0.0036056480458778214	0.8833837712400663
0.508	0.0036439948299464464	0.8927787333368794
0.509	0.003685590395846391	0.9029696469823658
0.51	0.0036110171020059807	0.8846991899914652
0.511	0.003479107337433186	0.8523812976711306
0.512	0.003608148912116453	0.883996483468531
0.513	0.0036165148204562667	0.8860461310117853
0.514	0.0036115286768154263	0.8848245258197794
0.515	0.0036107502052328145	0.8846338002820395
0.516	0.0036073165791237847	0.8837925618853273
0.517	0.0035983649375029027	0.8815994096882112
0.518	0.00353090430254943	0.8650715541246103
0.519	0.0035555086106122337	0.8710996095999972
0.52	0.003606544951733352	0.8836035131746712
0.521	0.0036138277227398285	0.885387792071258
0.522	0.003516015096352481	0.8614236986063578
0.523	0.003443088983056823	0.8435568008489216
0.524	0.003455066786927971	0.8464913627973528
0.525	0.0034454059831738396	0.8441244658775907
0.526	0.0034330122375830405	0.841087998207845
0.527	0.0034617161820544415	0.8481204646033381
0.528	0.0034887789565890065	0.8547508443643066
0.529	0.0034539840559520323	0.8462260937082479
0.53	0.0034962132828888384	0.8565722543077654
0.531	0.0034443084043857233	0.8438555590745023
0.532	0.003423192318506448	0.8386821180340798
0.533	0.0034519313800707645	0.8457231881173373
0.534	0.0034344059994393743	0.8414294698626467
0.535	0.0033676370353604088	0.8250710736633001
0.536	0.003279731390688705	0.8035341907187328
0.537	0.0032503414028454444	0.7963336436971339
0.538	0.003321922943676507	0.8138711212007442
0.539	0.0033275492804601156	0.8152495737127283
0.54	0.0032302720276576537	0.7914166467761251
0.541	0.0032702689538200193	0.8012158936859047
0.542	0.003247850622251462	0.7957234024516082
0.543	0.003250167971555174	0.7962911530310176
0.544	0.003337648718947737	0.8177239361421956
0.545	0.003354702798078882	0.821902185529326
0.546	0.003426133044167784	0.8394025958211071
0.547	0.003385638943596298	0.8294815411810931
0.548	0.0033633320602339464	0.8240163547573168
0.549	0.003393115320441568	0.8313132535081842
0.55	0.0034324037077777866	0.8409389084055577
0.551	0.003327523525759456	0.8152432638110667
0.552	0.0033960360676208966	0.8320288365671197
0.553	0.003295479479152966	0.8073924723924767
0.554	0.0032942633090314428	0.8070945107127034
0.555	0.0032248133720059326	0.7900792761414535
0.556	0.003255507047035495	0.7975992265236962
0.557	0.003262433061911997	0.7992961001684393
0.558	0.003220245063462763	0.7889600405483769
0.559	0.003227141416064844	0.7906496469358867
0.56	0.003172063035539538	0.7771554437071868
0.561	0.003210309691017531	0.7865258742992951
0.562	0.0032050976154465428	0.7852489157844029
0.563	0.003226576672225091	0.7905112846951472
0.564	0.0032479912884922587	0.7957578656806034
0.565	0.0031881978866941793	0.7811084822400739
0.566	0.0032147342783777995	0.7876098982025609
0.567	0.003244313161013163	0.7948567244482249
0.568	0.003282421722911232	0.8041933221132518
0.569	0.003323390297339562	0.8142306228481927
0.57	0.0033547057515405988	0.8219029091274467
0.571	0.0032924894999480604	0.8066599274872748
0.572	0.00324693559725436	0.7954992213273182
0.573	0.0033082452079946727	0.8105200759586948
0.574	0.003291762145178917	0.8064817255688346
0.575	0.003213411587813895	0.7872858390144043
0.576	0.003299623918524983	0.8084078600386208
0.577	0.0032426177378110177	0.7944413457636993
0.578	0.003233510234217625	0.7922100073833181
0.579	0.0032697491072378733	0.801088531273279
0.58	0.0033032522683701035	0.8092968057506753
0.581	0.0033101764423750764	0.8109932283818937
0.582	0.003341450839525818	0.8186554556838254
0.583	0.0032805529797285946	0.8037354800335057
0.584	0.003288642124243703	0.8057173204397072
0.585	0.0033167144800013105	0.8125950476003211
0.586	0.003259915501949302	0.798679297977579
0.587	0.003258087824021156	0.7982315168851831
0.588	0.0033126023186015674	0.811587568057384
0.589	0.0033652804414420964	0.8244937081533136
0.59	0.003394182696399704	0.8315747606179275
0.591	0.0033668663009754378	0.8248822437389822
0.592	0.0034087796292763635	0.835151009172709
0.593	0.0034742454535983502	0.8511901361315958
0.594	0.00350366866965444	0.8583988240653379
0.595	0.0035330878648330523	0.8656065268840978
0.596	0.00349135842897989	0.8553828151000731
0.597	0.003520295480130111	0.8624723926318772
0.598	0.0033531381647436795	0.8215188503622015
0.599	0.0034212411941531734	0.8382040925675275
0.6	0.0034759467583154484	0.8516069557872848
0.601	0.0035420736800084807	0.8678080516020777
0.602	0.0035889422769706655	0.879290857857813
0.603	0.0036357842371633874	0.8907671381050299
0.604	0.003687567768004762	0.9034541031611667
0.605	0.0037570902970750276	0.9204871227833817
0.606	0.003764215960815934	0.9222329103999038
0.607	0.0037331900757637936	0.9146315685621295
0.608	0.0035786675844889713	0.876773558199798
0.609	0.0036846774140752428	0.9027459664484345
0.61	0.0036993214149669156	0.9063337466668944
0.611	0.003658184505114886	0.8962552037531472
0.612	0.003699390130860168	0.9063505820607412
0.613	0.003710431639823564	0.9090557517567732
0.614	0.0037280025347747954	0.9133606210198248
0.615	0.0037812051337532144	0.9263952577695376
0.616	0.0036853960447385194	0.9029220309609373
0.617	0.0037058110926109326	0.9079237176896785
0.618	0.0037692367820812535	0.9234630116099071
0.619	0.0038010912581011792	0.9312673582347889
0.62	0.003818787386749388	0.9356029097536
0.621	0.0038268495606636746	0.9375781423626003
0.622	0.003855120682369306	0.94450456718048
0.623	0.0037932275383629407	0.9293407468989204
0.624	0.0038846034270718015	0.9517278396325913
0.625	0.003685715636479522	0.9030003309374829
0.626	0.0036665596507136555	0.8983071144248456
0.627	0.0037725111000550086	0.9242652195134771
0.628	0.003667565837525578	0.8985536301937667
0.629	0.003714003555611794	0.9099308711248896
0.63	0.0037403927136961447	0.9163962148555554
0.631	0.00371219521123444	0.9094878267524378
0.632	0.0037336503063684742	0.9147443250602761
0.633	0.0037912292006247734	0.9288511541530695
0.634	0.003810640707248799	0.9336069732759558
0.635	0.003842809934319542	0.9414884339082877
0.636	0.0037461124632677196	0.9177975535005913
0.637	0.0037319502710551756	0.914327816408518
0.638	0.0036941545648535128	0.9050678683891106
0.639	0.0035988428406630297	0.8817164959624423
0.64	0.003683086090341427	0.9023560921336496
0.641	0.0036575896004665837	0.896109452114313
0.642	0.003587880096428067	0.8790306236248764
0.643	0.0035876897872452298	0.8789839978750813
0.644	0.003403524162946953	0.8338634199220035
0.645	0.0032623246676354084	0.799269543570675
0.646	0.0032586104223093094	0.7983595534657808
0.647	0.003213752894390001	0.7873694591255502
0.648	0.0032926582734721095	0.8067012770006668
0.649	0.0032950126594844258	0.8072781015736843
0.65	0.003182506424343454	0.7797140739641462
0.651	0.003202405930886623	0.7845894530672227
0.652	0.0032103009130602686	0.7865237236997658
0.653	0.003084228777946347	0.755636050596855
0.654	0.0030257119302271114	0.7412994229056423
0.655	0.0030545157902386886	0.7483563686084787
0.656	0.002925813264919047	0.7168242499051665
0.657	0.0030128537937975037	0.7381491794803884
0.658	0.003014132223497108	0.7384623947567914
0.659	0.0029471227701091222	0.722045078676735
0.66	0.0029793404662576198	0.7299384142331169
0.661	0.0030111678408214766	0.7377361210012617
0.662	0.0029859189412493868	0.7315501406060998
0.663	0.0030406058922600467	0.7449484436037115
0.664	0.003005453180522831	0.7363360292280936
0.665	0.002974394098628695	0.7287265541640303
0.666	0.003023675632519762	0.7408005299673417
0.667	0.003032533911795676	0.7429708083899406
0.668	0.0030965780155781833	0.7586616138166549
0.669	0.0030412445062727956	0.7451049040368349
0.67	0.0030708419049296763	0.7523562667077707
0.671	0.0030725079964973173	0.7527644591418428
0.672	0.003105855578764231	0.7609346167972365
0.673	0.003144763576070892	0.7704670761373685
0.674	0.003073002740262021	0.7528856713641952
0.675	0.0031106205161063947	0.7621020264460667
0.676	0.0031655972692790097	0.7755713309733574
0.677	0.003192543073819078	0.7821730530856741
0.678	0.003165365599881017	0.7755145719708492
0.679	0.003145356233140498	0.770612277119422
0.68	0.003169603130686161	0.7765527670181095
0.681	0.0032140937121725873	0.7874529594822839
0.682	0.0032397316486596434	0.7937342539216127
0.683	0.0031179145331450345	0.7638890606205334
0.684	0.003080823654783701	0.7548017954220068
0.685	0.003074142943355079	0.7531650211219943
0.686	0.0030212728617801895	0.7402118511361464
0.687	0.0030151443312065552	0.7387103611456061
0.688	0.003076740431406181	0.7538014056945143
0.689	0.003098418475511389	0.7591125265002903
0.69	0.003132066846119573	0.7673563772992954
0.691	0.0030515349008433785	0.7476260507066277
0.692	0.003094380873065989	0.7581233139011674
0.693	0.003159780480458413	0.7741462177123112
0.694	0.00316549412283899	0.7755460600955525
0.695	0.003224857619667318	0.790090116818493
0.696	0.0030859845544274084	0.7560662158347151
0.697	0.0030782752716848535	0.7541774415627891
0.698	0.003110682846244875	0.7621172973299943
